src,dest,weight
D000941,D000818,39491
D000941,D000906,10457
D000941,D000911,3094
D000941,D000917,7007
D000941,D000937,3956
D000941,D000939,3391
D000942,D000328,5279
D000942,D000818,18730
D000942,D000907,9551
D000942,D000939,3040
D000943,D000818,6384
D000945,D000818,5003
D000945,D000911,3197
D000947,D000818,7151
D000949,D000818,13288
D000950,D000818,3506
D000951,D000328,6290
D000951,D000368,6135
D000951,D000818,14737
D000951,D000911,6952
D000953,D000818,10681
D000953,D000913,4016
D000954,D000818,17228
D000954,D000911,7622
D000956,D000328,4184
D000956,D000818,20921
D000956,D000911,3277
D000956,D000914,9782
D000956,D000939,3908
D000959,D000319,3381
D000959,D000328,12822
D000959,D000368,14436
D000959,D000369,3709
D000959,D000806,5737
D000959,D000818,12223
D000960,D000818,4282
D000961,D000818,5858
D000962,D000328,4234
D000962,D000818,9554
D000963,D000818,4003
D000964,D000328,4285
D000964,D000368,5515
D000964,D000818,3568
D000970,D000068877,5096
D000970,D000230,6160
D000970,D000293,9113
D000970,D000328,32100
D000970,D000368,31327
D000970,D000369,9560
D000970,D000818,65778
D000970,D000900,3238
D000970,D000911,9804
D000971,D000230,7536
D000971,D000293,13809
D000971,D000328,48516
D000971,D000368,46012
D000971,D000369,11918
D000971,D000818,7445
D000971,D000911,5560
D000971,D000964,3276
D000971,D000970,10468
D000972,D000328,3105
D000972,D000368,3379
D000972,D000818,9291
D000974,D000328,4770
D000974,D000818,3276
D000975,D000328,8461
D000975,D000368,4706
D000975,D000818,45422
D000978,D000368,3393
D000981,D000818,5557
D000987,D000293,3229
D000987,D000328,3950
D000995,D000293,4381
D000995,D000328,10010
D000995,D000368,4096
D000998,D000212,4810
D000998,D000293,4055
D000998,D000328,14256
D000998,D000368,5860
D000998,D000818,15219
D001000,D000818,4394
D001001,D000818,24981
D001003,D000328,5616
D001003,D000368,3491
D001007,D000223,4821
D001007,D000293,11722
D001007,D000328,25917
D001007,D000368,10499
D001007,D000369,3005
D001007,D000818,8718
D001008,D000293,6931
D001008,D000328,13076
D001008,D000368,4769
D001008,D001007,3683
D001011,D000328,7156
D001011,D000368,5971
D001011,D000818,31725
D001012,D000328,3986
D001012,D000368,6397
D001012,D000818,4824
D001013,D000328,5953
D001013,D000368,5465
D001013,D000818,12602
D001014,D000328,5531
D001014,D000368,7038
D001014,D000784,6073
D001014,D001012,4276
D001014,D001013,3028
D001018,D000328,3489
D001018,D000368,4726
D001018,D001011,3267
D001018,D001012,3029
D001018,D001013,3082
D001019,D000368,3634
D001021,D000293,3153
D001021,D000328,8170
D001021,D000368,8213
D001021,D000369,3137
D001022,D000328,5732
D001022,D000368,3533
D001022,D001021,4565
D001024,D000328,4440
D001024,D000368,6943
D001024,D000369,3796
D001024,D001021,5950
D001024,D001022,3380
D001026,D000328,9270
D001026,D000368,21037
D001026,D000369,4222
D001026,D000787,3170
D001027,D000328,4039
D001027,D000368,4231
D001042,D000818,3674
D001048,D000818,3439
D001057,D000368,4292
D001057,D000544,3740
D001057,D000818,6877
D001058,D000818,7261
D001062,D000328,4069
D001064,D000208,6517
D001064,D000293,4503
D001064,D000328,6103
D001064,D001062,5299
D001068,D000293,4600
D001068,D000328,4954
D001070,D000818,3530
D001082,D000818,4885
D001095,D000818,10998
D001096,D000818,3274
D001118,D000818,3682
D001120,D000328,4253
D001120,D000595,3718
D001120,D000818,19703
D001127,D000818,8022
D001132,D000293,3938
D001132,D000328,12400
D001132,D000368,5640
D001141,D000818,3164
D001143,D000293,4437
D001143,D000328,12956
D001143,D000818,7633
D001145,D000293,5056
D001145,D000328,13749
D001145,D000368,12564
D001145,D000818,11114
D001145,D000889,5584
D001151,D000818,3517
D001157,D000328,7262
D001157,D000368,9444
D001158,D000293,3195
D001158,D000328,11787
D001158,D000368,7760
D001158,D000818,18338
D001160,D000818,5766
D001161,D000328,11901
D001161,D000368,12941
D001161,D000818,16144
D001161,D001011,5445
D001161,D001158,3105
D001164,D000328,4194
D001165,D000328,3116
D001168,D000328,7028
D001168,D000368,5063
D001168,D000818,5786
D001169,D000818,7749
D001171,D000293,4521
D001172,D000293,5616
D001172,D000328,27873
D001172,D000368,24735
D001172,D000369,4567
D001172,D000818,8108
D001172,D000911,4168
D001172,D001168,9661
D001174,D000328,3338
D001181,D000818,4187
D001182,D000293,4812
D001182,D000328,9419
D001182,D000368,3579
D001185,D000465,13274
D001189,D000818,4872
D001201,D000328,3671
D001201,D000818,3597
D001202,D000818,6736
D001205,D000328,4870
D001205,D000818,14711
D001205,D000975,7657
D001208,D000328,3379
D001208,D000349,3854
D001219,D000328,6536
D001219,D000368,3338
D001219,D000410,16052
D001219,D000469,4418
D001219,D000818,12379
D001224,D000818,9568
D001228,D000328,3481
D001241,D000328,8607
D001241,D000368,8180
D001241,D000818,8477
D001241,D000894,5498
D001241,D000925,3201
D001245,D000818,4436
D001249,D000208,3184
D001249,D000280,7341
D001249,D000293,25591
D001249,D000305,5305
D001249,D000318,3602
D001249,D000328,37348
D001249,D000336,3381
D001249,D000367,3271
D001249,D000368,12410
D001249,D000420,3829
D001249,D000485,7741
D001249,D000818,14722
D001253,D000818,23436
D001253,D000831,3241
D001254,D000293,3096
D001254,D000328,5051
D001265,D000293,7899
D001265,D000328,9171
D001281,D000328,8089
D001281,D000368,16612
D001281,D000369,4823
D001281,D000818,3274
D001281,D000889,5056
D001281,D000925,5866
D001284,D000293,3050
D001284,D000328,8526
D001284,D000368,7247
D001284,D000818,5272
D001285,D000109,4050
D001285,D000328,3463
D001285,D000818,15978
D001288,D000161,3137
D001288,D000293,12592
D001288,D000328,32233
D001288,D000368,6503
D001288,D000704,5175
D001288,D000818,5811
D001288,D001143,4843
D001289,D000293,9088
D001289,D000328,5082
D001289,D000697,3506
D001290,D000293,9442
D001290,D000328,14487
D001290,D000368,4457
D001291,D000223,3406
D001291,D000293,5104
D001291,D000328,26398
D001291,D000368,10612
D001293,D000328,3336
D001294,D000223,7385
D001294,D000293,16382
D001294,D000328,32504
D001294,D000367,3836
D001294,D000368,17478
D001294,D000369,5637
D001294,D001291,7205
D001299,D000328,5340
D001301,D000328,4988
D001303,D000161,3633
D001303,D000818,4567
D001306,D000818,4848
D001307,D000161,7997
D001307,D000293,3276
D001307,D000328,9255
D001307,D000818,5700
D001307,D001288,3045
D001309,D000161,4840
D001309,D000328,7061
D001309,D000818,3993
D001309,D001301,3271
D001315,D000293,10656
D001315,D000328,18844
D001315,D000367,3220
D001315,D000368,11465
D001315,D000369,3971
D001315,D000818,9053
D001317,D000328,3645
D001321,D000293,5038
D001321,D000328,3658
D001323,D000293,8075
D001323,D000328,18739
D001323,D000368,10557
D001323,D000818,15414
D001323,D000918,3104
D001324,D000818,8110
D001324,D001323,5843
D001327,D000293,3681
D001327,D000328,9135
D001327,D000368,5126
D001327,D000818,17016
D001327,D001323,8733
D001334,D000063,6163
D001334,D000293,3223
D001334,D000328,6677
D001334,D000368,3105
D001335,D000393,3276
D001341,D000328,6559
D001341,D000818,6877
D001343,D000818,9591
D001344,D000293,4970
D001344,D000328,12748
D001344,D000368,10077
D001345,D000818,37297
D001358,D000818,3606
D001362,D000818,17514
D001364,D000328,6729
D001365,D000328,4791
D001365,D000368,3474
D001369,D000200,3376
D001369,D000818,39566
D001370,D000818,7133
D001379,D000328,5502
D001381,D000818,3220
D001386,D000818,3962
D001391,D000818,4306
D001402,D000293,3690
D001402,D000328,9690
D001402,D000368,5102
D001402,D000595,3189
D001402,D000818,38125
D001402,D000911,6632
D001402,D000917,5653
D001402,D000939,3153
D001404,D000818,3318
D001407,D000818,4582
D001412,D000595,3116
D001416,D000328,6183
D001416,D000368,3159
D001418,D000818,3088
D001419,D000293,3606
D001419,D000328,7556
D001419,D000368,4415
D001419,D000595,3528
D001419,D000818,26370
D001419,D000890,3747
D001419,D000900,18363
D001419,D001105,3645
D001422,D000818,5755
D001424,D000293,8096
D001424,D000328,15086
D001424,D000368,10370
D001424,D000818,11469
D001424,D000900,15296
D001424,D001419,8825
D001425,D000595,3766
D001425,D000818,5651
D001425,D000942,3636
D001426,D000251,3107
D001426,D000328,3674
D001426,D000595,29133
D001426,D000596,3208
D001426,D000818,30227
D001426,D000900,9241
D001426,D000907,4161
D001426,D000942,8756
D001426,D001412,6550
D001426,D001419,5518
D001426,D001425,4924
D001427,D000818,12368
D001427,D001426,5609
D001428,D000818,10374
D001428,D000907,4437
D001431,D000328,3083
D001431,D000818,5144
D001431,D001419,4517
D001459,D000328,3033
D001463,D000818,3379
